path2,desc
sample_fashion_dataset/8719.jpg,Indigo Nation Men Stripes Shirt Purple Shirts for Casual usage in Fall
sample_fashion_dataset/38980.jpg,Arrow Men Blue Check Shirt for Formal usage in Summer
sample_fashion_dataset/1812.jpg,Solognac Men Green T-shirt for Sports usage in Fall
sample_fashion_dataset/50705.jpg,Latin Quarters Women Cream Printed Top for Casual usage in Summer
sample_fashion_dataset/53404.jpg,Alma Women Blue Printed Kurta for Ethnic usage in Fall
sample_fashion_dataset/41599.jpg,Basics Men Blue Shirt for Casual usage in Summer
sample_fashion_dataset/16825.jpg,Little Miss Women Printed Purple T-shirt for Casual usage in Fall
sample_fashion_dataset/41607.jpg,Basics Men Grey Shirt for Casual usage in Summer
sample_fashion_dataset/33971.jpg,Femella Women Navy Blue Top for Casual usage in Summer
sample_fashion_dataset/12787.jpg,Mother Earth Women Renu Red Kurtas for Ethnic usage in Fall
sample_fashion_dataset/10494.jpg,Flying Machine Women Blue Polo Tshirts for Casual usage in Fall
sample_fashion_dataset/39746.jpg,Gini Jony Girls Black Top for Casual usage in Summer
sample_fashion_dataset/42103.jpg,ADIDAS Men Black Polo T-shirt for Casual usage in Summer
sample_fashion_dataset/17754.jpg,Highlander Men Check Purple Shirt for Casual usage in Fall
sample_fashion_dataset/37800.jpg,John Players Men Striped Orange Shirt for Formal usage in Summer
sample_fashion_dataset/9140.jpg,Scullers For Her Women Viscose Tunics Magenta Tunics for Casual usage in Fall
sample_fashion_dataset/18844.jpg,Puma Men Graphic Print White Tshirt for Casual usage in Fall
sample_fashion_dataset/8455.jpg,Jealous 21 Women Jealous Ran Pink Top Pink Tops for Casual usage in Fall
sample_fashion_dataset/26907.jpg,Jealous 21 Women Printed White Top for Casual usage in Summer
sample_fashion_dataset/8865.jpg,Mark Taylor Men Purple Striped Shirt for Casual usage in Fall
sample_fashion_dataset/12017.jpg,Mark Taylor Men Purple White Striped Shirts for Formal usage in Fall
sample_fashion_dataset/1889.jpg,Fifa Men Essentials Navy Blue T-shirt for Casual usage in Winter
sample_fashion_dataset/50356.jpg,Aurelia Women Black Kurta for Ethnic usage in Summer
sample_fashion_dataset/7202.jpg,Jealous 21 Women Band With Blue Top for Casual usage in Fall
sample_fashion_dataset/13398.jpg,United Colors of Benetton Men Check Blue Shirts for Casual usage in Summer
